team,group,round_32_prob,round_16_prob,quarterfinal_prob,semifinal_prob,final_prob,champion_prob
Spain,H,0.994,0.813,0.585,0.433,0.324,0.236
Argentina,J,0.971,0.746,0.505,0.319,0.211,0.13
France,I,0.924,0.651,0.43,0.268,0.166,0.094
England,L,0.952,0.65,0.366,0.22,0.115,0.06
Brazil,C,0.933,0.592,0.351,0.189,0.098,0.054
Ecuador,E,0.961,0.647,0.398,0.22,0.109,0.05
Japan,F,0.925,0.568,0.346,0.188,0.102,0.049
Colombia,K,0.896,0.542,0.293,0.164,0.078,0.041
Morocco,C,0.907,0.57,0.304,0.15,0.071,0.032
Australia,D,0.842,0.487,0.274,0.134,0.057,0.026
Turkey,D,0.73,0.418,0.209,0.109,0.053,0.023
Germany,E,0.896,0.482,0.259,0.117,0.053,0.021
Netherlands,F,0.906,0.513,0.268,0.131,0.056,0.02
Mexico,A,0.933,0.517,0.25,0.109,0.047,0.019
Croatia,L,0.857,0.475,0.241,0.108,0.051,0.019
Portugal,K,0.793,0.415,0.198,0.092,0.034,0.016
Norway,I,0.742,0.397,0.195,0.093,0.046,0.014
Senegal,I,0.654,0.325,0.165,0.077,0.033,0.013
Belgium,G,0.867,0.426,0.183,0.075,0.027,0.011
Paraguay,D,0.707,0.369,0.187,0.093,0.04,0.01
Uruguay,H,0.884,0.443,0.24,0.103,0.041,0.01
Iran,G,0.809,0.376,0.171,0.062,0.018,0.009
Switzerland,B,0.946,0.49,0.201,0.087,0.025,0.009
Canada,B,0.944,0.475,0.22,0.088,0.033,0.008
Algeria,J,0.689,0.309,0.12,0.054,0.012,0.005
Panama,L,0.671,0.267,0.102,0.025,0.006,0.003
South Korea,A,0.861,0.401,0.161,0.064,0.022,0.003
Ivory Coast,E,0.553,0.193,0.066,0.016,0.002,0.002
United States,D,0.459,0.168,0.058,0.02,0.01,0.002
Scotland,C,0.469,0.155,0.053,0.018,0.005,0.002
New Zealand,G,0.395,0.128,0.032,0.009,0.002,0.002
Uzbekistan,K,0.566,0.198,0.061,0.028,0.007,0.002
Tunisia,F,0.47,0.127,0.042,0.007,0.005,0.001
Sweden,F,0.404,0.115,0.03,0.008,0.003,0.001
Iraq,I,0.372,0.133,0.042,0.015,0.007,0.001
Austria,J,0.534,0.211,0.067,0.023,0.009,0.001
Jordan,J,0.445,0.14,0.052,0.014,0.005,0.001
Egypt,G,0.666,0.246,0.085,0.027,0.004,0.0
Bosnia and Herzegovina,B,0.409,0.068,0.013,0.0,0.0,0.0
Ghana,L,0.22,0.053,0.009,0.001,0.0,0.0
South Africa,A,0.337,0.065,0.013,0.002,0.001,0.0
Haiti,C,0.333,0.09,0.023,0.008,0.003,0.0
DR Congo,K,0.435,0.138,0.038,0.015,0.004,0.0
Qatar,B,0.307,0.052,0.009,0.001,0.0,0.0
Curaçao,E,0.273,0.054,0.01,0.0,0.0,0.0
Saudi Arabia,H,0.348,0.074,0.018,0.004,0.0,0.0
Cape Verde,H,0.248,0.063,0.011,0.0,0.0,0.0
Czech Republic,A,0.563,0.165,0.046,0.012,0.005,0.0
